,body type,Kilometers driven,Transmission type,Number of owners,car model,Year of manufacture,price,Fuel Type,Insurance Validity,Seats,Engine,Mileage,Color,Turbo Charger,Super Charger,Steering Type,Top Speed,No of Doors,City
0,2,120000,1,3,160,2015,400000.0,4,5,5,998.0,23.1,138,0,0,4,150,5,0
1,7,32706,1,2,50,2018,811000.0,4,0,5,1497.0,17.0,138,0,0,4,170,4,0
2,2,11949,1,1,273,2018,585000.0,4,0,5,1199.0,23.84,110,0,0,4,150,5,0
3,8,17794,1,1,87,2014,462000.0,4,0,5,1197.0,19.1,86,0,0,4,172,4,0
4,7,60000,1,1,178,2015,790000.0,1,5,5,1248.0,23.65,55,3,0,4,190,5,0
5,7,20000,1,1,101,2020,1900000.0,1,5,5,1956.0,17.1,86,3,0,4,170,5,0
6,2,37772,1,1,37,2017,345000.0,4,0,5,1198.0,20.63,57,0,0,4,150,5,0
7,7,30000,0,1,85,2021,1200000.0,4,5,5,998.0,18.15,86,3,0,4,170,5,0
8,8,37000,0,1,163,2018,960000.0,4,0,5,1462.0,20.28,66,0,0,4,170,4,0
9,2,11949,1,1,273,2017,585000.0,4,0,5,1199.0,23.84,110,0,0,4,150,5,0
10,2,50000,1,1,157,2018,690000.0,4,5,5,1197.0,21.4,110,0,0,4,180,5,0
11,2,24887,0,1,77,2019,682000.0,4,5,5,1197.0,18.9,84,0,0,4,165,5,0
12,2,23000,0,1,66,2018,825000.0,4,0,5,1199.0,18.2,57,0,0,4,172,5,0
13,2,48928,0,1,273,2018,595000.0,4,0,5,1199.0,23.84,110,0,0,4,150,5,0
14,7,108862,1,3,147,2014,690000.0,1,0,7,2179.0,15.1,116,3,0,4,175,5,0
15,7,80000,1,1,101,2018,1350000.0,1,5,5,1956.0,17.1,86,3,0,4,170,5,0
16,7,16000,0,1,204,2022,5595000.0,1,0,5,1950.0,19.26500376081233,9,3,0,4,219,5,0
17,2,65376,1,2,90,2014,521000.0,1,0,5,1396.0,21.27,9,0,0,4,170,5,0
18,7,10000,1,1,265,2022,1005000.0,4,5,5,1199.0,17.33,86,0,0,1,170,5,0
19,8,67000,1,2,63,2016,775000.0,4,0,5,1497.0,17.8,14,0,0,4,195,4,0
20,8,100000,0,3,17,2011,2200000.0,1,5,5,1995.0,18.48,138,0,1,4,226,4,0
21,2,18083,1,1,179,2016,582000.0,4,0,5,1197.0,22.38,116,0,0,1,170,5,0
22,7,30000,1,1,236,2020,1090000.0,4,5,5,1498.0,16.42,86,0,0,4,170,5,0
23,2,57634,1,2,273,2016,457000.0,4,0,5,1199.0,23.84,116,0,0,4,150,5,0
24,8,50000,0,2,211,2016,4900000.0,4,5,5,4663.0,7.81,86,3,0,4,250,4,0
25,8,110000,1,1,63,2015,550000.0,4,5,5,1497.0,17.4,86,0,0,4,195,4,0
26,2,23447,0,1,81,2018,570000.0,4,0,5,1086.0,20.3,140,0,0,4,170,5,0
27,2,30000,1,2,82,2009,220000.00000000003,3,5,5,1086.0,13.45,86,0,0,4,170,5,0
28,8,33000,0,1,200,2017,4145000.000000001,4,0,5,1991.0,15.0,138,3,0,1,236,4,0
29,7,87667,1,2,147,2014,861000.0,1,4,7,2179.0,15.1,8,3,0,4,175,5,0
30,8,40000,0,2,3,2016,1785000.0000000002,1,5,5,1968.0,17.11,86,3,0,4,222,4,0
31,7,79012,1,2,147,2014,802999.9999999999,1,0,7,2179.0,15.1,116,3,0,4,175,5,0
32,7,31344,1,1,101,2021,2565000.0,1,0,5,1956.0,17.1,8,3,0,4,170,5,0
33,8,50000,1,1,87,2018,674000.0,4,5,5,1197.0,20.14,86,0,0,4,172,4,0
34,2,12434,1,1,184,2015,349000.0,4,0,5,998.0,20.51,14,0,0,4,152,5,0
35,4,60000,1,2,165,2019,1050000.0,4,5,7,1462.0,19.34,86,0,0,4,170,5,0
36,8,12000,0,1,197,2019,4425000.0,1,0,5,1950.0,12.6,138,3,0,4,240,4,0
37,2,40987,1,2,184,2015,406000.0,4,0,5,998.0,20.51,138,0,0,4,152,5,0
38,8,18157,0,1,17,2020,4965000.0,4,6,5,1998.0,15.56,9,2,0,4,250,4,0
39,7,120000,1,3,285,2011,1100000.0,1,5,7,2982.0,11.5,86,3,0,4,176,5,0
40,7,40000,0,2,236,2020,1100000.0,1,5,5,1461.0,19.87,86,0,0,4,170,5,0
41,2,89667,1,1,90,2016,594000.0,4,0,5,1197.0,18.6,138,0,0,4,170,5,0
42,2,120000,1,1,90,2017,710000.0,1,5,5,1396.0,22.54,86,3,0,4,180,5,0
43,2,56997,1,1,157,2017,692000.0,4,6,5,1197.0,21.4,9,0,0,4,180,5,0
44,8,120000,1,1,75,2013,650000.0,4,5,5,1797.0,16.3,86,0,0,4,191,4,0
45,8,59000,0,1,4,2015,2090000.0,1,5,5,1968.0,18.53,138,3,0,4,232,4,0
46,2,18835,1,1,155,2021,411000.00000000006,4,6,5,796.0,22.05,116,0,0,4,170,5,0
47,7,120000,1,2,138,2010,650000.0,1,5,7,2179.0,12.05,55,3,0,4,170,5,0
48,2,40000,0,1,213,2016,3675000.0,4,0,4,1998.0,17.33,138,3,0,1,233,3,0
49,2,60932,1,1,273,2019,610000.0,4,0,5,1199.0,23.84,110,0,0,4,150,5,0
50,7,33539,0,2,107,2020,1675000.0,4,0,5,1353.0,16.5,138,3,0,1,170,5,0
51,2,66837,1,2,273,2018,530000.0,4,0,5,1199.0,23.84,14,0,0,4,150,5,0
52,8,400,0,1,200,2022,7990000.000000001,1,4,5,2925.0,19.26500376081233,138,3,0,1,250,4,0
53,2,60000,1,2,154,2008,250000.0,4,5,5,796.0,19.7,86,0,0,4,137,5,0
54,2,44285,1,1,90,2019,715000.0,4,5,5,1197.0,18.6,57,0,0,4,170,5,0
55,7,100000,0,2,203,2014,3500000.0,1,5,7,2987.0,11.3,86,3,0,4,220,5,0
56,7,25000,0,1,264,2021,2250000.0,1,0,6,1956.0,14.08,138,3,0,4,170,5,0
57,2,36735,1,1,77,2018,625000.0,4,0,5,1197.0,18.9,9,0,0,4,165,5,0
58,7,79000,0,1,10,2015,2695000.0,1,0,7,2967.0,12.07,138,3,0,4,215,5,0
59,7,120000,1,2,138,2010,650000.0,1,5,8,2179.0,12.05,55,3,0,4,170,5,0
60,2,10000,0,1,238,2022,550000.0,4,5,5,999.0,22.0,86,0,0,1,170,5,0
61,7,53645,1,1,265,2018,825000.0,1,0,5,1497.0,21.5,138,3,0,4,154,5,0
62,2,100000,1,2,76,2006,220000.00000000003,4,5,5,1341.0,15.3,86,0,0,4,166,5,0
63,2,53982,0,1,160,2014,428000.0,4,0,5,998.0,26.68,86,0,0,1,170,5,0
64,8,110000,1,1,249,2014,695000.0,1,5,5,1498.0,21.14,8,3,0,4,183,4,0
65,7,37741,1,2,50,2019,930000.0,4,5,5,1496.0,15.9,138,0,0,1,170,4,0
66,2,17367,1,1,155,2021,455000.0,4,0,5,796.0,22.05,116,0,0,4,170,5,0
